post_id,tag_id
14042,31
14292,36
19673,260
26683,260
27424,260
29269,260
29272,260
29397,260
29494,260
29506,260
33366,260
35926,260
38755,260
41040,260
41063,260
41522,260
41624,260
41685,260
41938,260
44140,260
44166,260
17218,261
17266,261
17930,261
18489,261
18707,261
19093,261
19188,261
27565,261
28005,261
28225,261
29414,261
33375,261
12898,262
12985,262
13146,262
13689,262
14235,262
14440,262
16043,262
16540,262
16542,262
17131,262
17181,262
17275,262
18019,262
18326,262
18466,262
18573,262
18628,262
18680,262
18794,262
19114,262
19130,262
19747,262
19896,262
34574,262
14042,267
16041,267
17083,267
17705,267
18423,267
18453,267
18646,267
18926,267
19726,267
19958,267
34592,267
28222,275
34580,275
19671,280
34541,280
26456,282
27308,282
28115,282
28270,282
28284,282
34330,282
34341,282
34555,282
35650,282
45002,282
46107,282
27308,283
28115,283
28270,283
28284,283
34330,283
34555,283
35650,283
45002,283
46267,283
46309,283
46324,283
46672,283
46801,283
19109,287
27923,287
28071,287
28281,287
29420,287
29499,287
34568,287
41913,287
41921,287
41973,287
42050,287
42170,287
42276,287
27416,288
27929,288
28278,288
29489,288
34604,288
34622,288
39359,288
40698,288
40716,288
41034,288
44194,288
44200,288
34341,291
13918,298
34598,298
34368,299
34380,299
34531,299
44283,299
44817,299
50804,299
28234,308
34390,308
34562,308
34616,308
33002,329
35536,329
46745,329
33002,330
36805,330
14497,341
17603,341
35370,341
36001,341
38127,341
14497,342
17603,342
35370,342
36001,348
38127,348
47056,348
13315,354
32979,354
36855,354
38470,354
41927,354
44969,354
44981,354
44990,354
45005,354
45028,354
45039,354
45502,354
46351,354
36647,355
36697,355
38040,361
38042,361
39986,365
39993,365
42270,365
40281,371
40302,371
40777,371
41009,371
41945,371
41952,371
41967,371
40830,375
42056,397
42066,397
42094,397
42435,397
42188,401
42201,401
42188,402
42201,402
45805,402
42216,405
42238,405
42260,405
13832,408
44055,408
44061,408
45076,408
45487,408
45580,408
46517,408
46935,408
46051,422
46058,424
46058,425
46095,427
46095,428
47919,428
46393,433
48479,442
51946,442
52174,442
50760,452
52633,452
52074,459
52095,459
52107,459
52568,459
51966,463
52186,463
52047,465
52061,465
52076,465
52243,465
52341,467
52362,467
52713,467
52728,467
52736,467
52766,467
52775,467
52785,467
52792,467
52999,467
53013,467
53048,467
53067,467
53088,467
53131,467
53149,467
52397,471
52410,471
52326,473
52512,473
52517,475
52558,475
52530,477
52543,482
52942,482
52376,484
52959,484
52986,486
